id,preferred_term,candidate_term,status,issue,affected_object_ids,source_ids,next_action
TERM-093,domestic smoke alarm for the self-contained warning product and smoke detector for a detector connected to a separate control system,smoke alarm or smoke detector,accepted_pending_review,"A domestic alarm normally includes its sensor, sounder, power and controls. In larger systems a detector may only signal a separate panel and warning system. Using detector for both can omit the required local warning and power arrangement.",AU-FS-DOMESTIC-SMOKE-ALARM-ASSEMBLY|AU-FS-DOMESTIC-ALARM-SYSTEM|AU-FS-ALARM-SOUNDER,SRC-ABCB-HP-SMOKE-ALARMS|SRC-SA-AS-3786-2023|SRC-BROOKS-DOMESTIC-ALARMS,Ask whether the device contains its own sounder and household alarm functions or reports to a separate fire detection and alarm system.
TERM-094,"photoelectric, ionisation or combined alarm according to certified sensing technology and jurisdiction",standard smoke alarm,hold,"AS 3786 covers more than one smoke-sensing principle, while state legislation and project requirements can mandate or favour a particular technology. Housing appearance does not reveal the sensor.",AU-FS-PHOTOELECTRIC-SMOKE-ALARM|AU-FS-IONISATION-SMOKE-ALARM|AU-FS-MULTISENSOR-SMOKE-HEAT-ALARM|AU-FS-PHOTOELECTRIC-SENSOR-CHAMBER|AU-FS-IONISATION-SENSOR-CHAMBER,SRC-SA-AS-3786-2023|SRC-ABCB-HP-SMOKE-ALARMS|SRC-BROOKS-DOMESTIC-ALARMS,"Store the product certification, sensing technology, jurisdiction, building date and replacement obligation instead of assigning a generic sensor from shape."
TERM-095,mains-powered for the power source and interconnected for the alarm-to-alarm warning relationship,"hardwired, wired or interconnected alarm",accepted_pending_review,"Hardwired often means mains powered but can also mean a dedicated interconnect conductor. Mains alarms may interconnect wirelessly, and battery alarms may be interconnected by radio or compatible wiring.",AU-FS-MAINS-POWERED-SMOKE-ALARM|AU-FS-BATTERY-POWERED-SMOKE-ALARM|AU-FS-HARDWIRED-ALARM-INTERCONNECT-CABLE|AU-FS-WIRELESS-ALARM-INTERCONNECT-MODULE,SRC-ABCB-HP-SMOKE-ALARMS|SRC-BROOKS-DOMESTIC-ALARMS,"Record operating power, backup power and interconnect medium as three separate fields and verify device compatibility."
TERM-096,battery-powered alarm or mains alarm with backup battery according to operating power,"battery alarm, lithium alarm or ten-year alarm",accepted_pending_review,"A sealed lithium cell can be the only operating supply or a backup behind mains power. Ten-year is a product-life claim and does not identify sensing technology, interconnection, replacement rules or certification.",AU-FS-BATTERY-POWERED-SMOKE-ALARM|AU-FS-MAINS-POWERED-SMOKE-ALARM|AU-FS-ALARM-BACKUP-BATTERY|AU-FS-SEALED-LITHIUM-ALARM-BATTERY|AU-FS-REPLACEABLE-ALARM-BATTERY,SRC-BROOKS-DOMESTIC-ALARMS|SRC-ABCB-HP-SMOKE-ALARMS,"Store operating supply, backup supply, chemistry, replaceability, rated product life and replacement date independently."
TERM-097,smoke alarm or heat alarm according to detected fire product and permitted location,fire alarm or thermal smoke alarm,accepted_pending_review,A smoke alarm responds to airborne smoke using a certified chamber; a heat alarm responds to temperature. A heat alarm may be permitted or required in a specific garage situation but is not a universal substitute for dwelling smoke alarms.,AU-FS-DOMESTIC-SMOKE-ALARM-ASSEMBLY|AU-FS-HEAT-ALARM-ASSEMBLY|AU-FS-MULTISENSOR-SMOKE-HEAT-ALARM|AU-FS-HEAT-ALARM-DURABLE-NOTICE,SRC-ABCB-HP-SMOKE-ALARMS|SRC-SA-AS-1603-3-2018|SRC-SA-AS-3786-2023,"Require the detected phenomenon, product standard, exact location, jurisdictional path and interconnection before choosing the device."
TERM-098,"status indicator, visual alarm strobe or evacuation light according to function","alarm light, emergency light or flashing light",accepted_pending_review,"A tiny status LED reports device state, a high-intensity strobe warns through vision, and an evacuation light illuminates a route. They differ in output, activation, coverage, power and accessibility purpose.",AU-FS-ALARM-STATUS-INDICATOR|AU-FS-VISUAL-ALARM-STROBE|AU-FS-INTEGRATED-ALARM-EVACUATION-LIGHT|AU-FS-ALARM-ACTIVATED-EVACUATION-LIGHT-FITTING,SRC-ABCB-HP-SMOKE-ALARMS|SRC-BROOKS-DOMESTIC-ALARMS,"Ask whether the light communicates device state, warns occupants directly or illuminates an evacuation route, then model the correct coverage and power relationship."
TERM-099,"firestop identification label, fire-door tag or heat-alarm notice according to the item and record purpose","fire tag, compliance label or notice",accepted_pending_review,"All are durable markings, but a firestop label identifies one penetration system, a fire-door tag belongs to a doorset identity and a heat-alarm notice tells occupants about a garage interconnection arrangement.",AU-FS-FIRESTOP-IDENTIFICATION-LABEL|AU-FS-FIRE-RESISTANT-DOORSET|AU-FS-HEAT-ALARM-DURABLE-NOTICE,SRC-PROMAT-FIRESTOP-SYSTEMS|SRC-SA-AS-1905-1-2015|SRC-ABCB-HP-SMOKE-ALARMS,"Link each physical marking to the exact protected assembly, unique ID, evidence and maintenance record instead of using one generic compliance-label object."
TERM-100,"thermal insulation product, bulk insulation, reflective insulation or thermal-mass element according to function",insulation or thermal material,accepted_pending_review,"Insulation slows heat flow, while thermal mass stores heat. Bulk and reflective insulation work differently and require different geometry, installation and evidence; they are not interchangeable labels for every thermally useful material.",AU-TC-THERMAL-INSULATION-PRODUCT|AU-TC-BULK-INSULATION|AU-TC-REFLECTIVE-INSULATION,SRC-ABCB-HP-THERMAL-FABRIC|SRC-SA-AS-NZS-4859-1-2018|SRC-ABCB-HOUSING-ENERGY-HANDBOOK,"Store product form, material, thermal function, tested rating and placement role separately; add thermal-mass elements in the relevant structural or lining catalogues."
TERM-101,material R-value or Total R-value according to the stated boundary,R-value,accepted_pending_review,"A product or layer R-value is not the Total R-value of the complete roof, wall or floor. R-values are performance attributes, not drawable objects, and the result depends on the stated heat-flow direction and assembly path.",AU-TC-THERMAL-INSULATION-PRODUCT|AU-TC-ROOF-CEILING-THERMAL-ASSEMBLY|AU-TC-EXTERNAL-WALL-THERMAL-ASSEMBLY|AU-TC-SUSPENDED-FLOOR-INSULATION-ASSEMBLY,SRC-ABCB-HP-THERMAL-FABRIC|SRC-ABCB-HOUSING-ENERGY-HANDBOOK|SRC-ABCB-THERMAL-BRIDGING-GUIDE,"Require an R-value record to name the evaluated object or assembly, heat-flow direction, calculation or test basis, and whether bridging and surface films are included."
TERM-102,declared product R-value or installed assembly contribution according to evidence,"installed R-value, rated R-value or effective R-value",accepted_pending_review,"A declared laboratory value belongs to a product under stated conditions. Its installed contribution can be reduced by compression, gaps, moisture, settlement, discontinuity or thermal bridges, so one unqualified value can overstate the real assembly.",AU-TC-THERMAL-INSULATION-PRODUCT|AU-TC-INSULATION-INFILL-PIECE|AU-TC-STACKED-INSULATION-LAYERS|AU-TC-CONTINUOUS-INSULATION-LAYER,SRC-SA-AS-NZS-4859-1-2018|SRC-SA-AS-NZS-4859-2-2018|SRC-ABCB-HP-THERMAL-FABRIC,"Keep declared, design and as-installed values separate and record thickness, compression, coverage, ageing or conditioning basis and evidence source."
TERM-103,"insulation batt, blanket or roll according to supplied form","batt, blanket or roll",accepted_pending_review,"These flexible products can use similar materials but have different supplied dimensions, facings, support needs and installation patterns. A roll cut into pieces does not automatically become a certified batt product.",AU-TC-INSULATION-BATT|AU-TC-INSULATION-BLANKET-ROLL|AU-TC-INSULATION-INFILL-PIECE,SRC-SA-AS-NZS-4859-1-2018|SRC-KNAUF-AU-INSULATION-RANGE,Model the supplied product form separately from each cut or infill instance and retain parent-product evidence.
TERM-104,glass mineral wool or rock mineral wool according to fibre material,"mineral wool, glass wool or rock wool",accepted_pending_review,"Mineral wool is a family name that can include glass and rock fibres. The products may differ in density, fire, acoustic, handling and moisture properties even when their thermal role looks similar.",AU-TC-GLASS-MINERAL-WOOL-INSULATION|AU-TC-ROCK-MINERAL-WOOL-INSULATION,SRC-KNAUF-AU-INSULATION-RANGE|SRC-SA-AS-NZS-4859-1-2018,"Use mineral wool only as a family classification; preserve the actual fibre type, density or grade and declared product evidence."
TERM-105,"EPS, XPS, PIR, phenolic or other rigid insulation board according to material","foam board, polystyrene or rigid foam",accepted_pending_review,"Expanded polystyrene, extruded polystyrene, polyisocyanurate and phenolic boards are distinct product families. They can differ in thermal ageing, moisture response, combustibility, facing, strength and compatible adhesives.",AU-TC-RIGID-INSULATION-BOARD|AU-TC-EPS-INSULATION-BOARD|AU-TC-XPS-INSULATION-BOARD|AU-TC-PIR-INSULATION-BOARD|AU-TC-PHENOLIC-INSULATION-BOARD,SRC-SA-AS-NZS-4859-1-2018|SRC-KINGSPAN-AU-RIGID-INSULATION,"Require the polymer or foam family, facing, grade, thickness, edge profile and evidence instead of inferring properties from the generic board shape."
TERM-106,"reflective insulation, roof sarking, wall wrap or reflective facing according to location and tested functions","foil, foil insulation or sarking",accepted_pending_review,"Foil describes a surface or laminate, not its complete role. A product may control water, air, vapour or radiant heat, but those functions require evidence and often depend on sealed laps and an adjacent airspace.",AU-TC-REFLECTIVE-INSULATION|AU-TC-REFLECTIVE-FOIL-LAMINATE|AU-TC-MICROPERFORATED-REFLECTIVE-MEMBRANE|AU-TC-PLIABLE-BUILDING-MEMBRANE,SRC-ABCB-HP-THERMAL-FABRIC|SRC-ABCB-HP-CONDENSATION|SRC-SA-AS-4200-1-2017|SRC-AMETALIN-MEMBRANES-AND-TAPE,"Store water, air, vapour and reflective classifications independently and model the required laps, seals, support and airspace."
TERM-107,vapour-control membrane classified by measured vapour permeance,"vapour barrier, vapour check, vapour retarder or vapour-permeable membrane",accepted_pending_review,"These names are often used loosely, while NCC placement depends on climate and the product's measured classification. Permeability is a spectrum; a membrane cannot be assigned a class from appearance alone.",AU-TC-VAPOUR-CONTROL-MEMBRANE|AU-TC-VAPOUR-BARRIER-MEMBRANE|AU-TC-VAPOUR-PERMEABLE-MEMBRANE,SRC-ABCB-HP-CONDENSATION|SRC-SA-AS-4200-1-2017|SRC-SA-AS-4200-2-2017,"Record measured permeance, classification, climate-zone rule, layer order, face orientation and product evidence."
TERM-108,vapour-permeable pliable membrane with stated classifications,breathable membrane or breathable house wrap,accepted_pending_review,"Breathable is marketing shorthand and can be mistaken for deliberate airflow. Vapour diffusion through a membrane is not the same as an air leak, drained cavity or ventilation opening.",AU-TC-VAPOUR-PERMEABLE-MEMBRANE|AU-TC-AIR-BARRIER-MEMBRANE|AU-TC-WATER-CONTROL-MEMBRANE,SRC-ABCB-HP-CONDENSATION|SRC-SA-AS-4200-1-2017|SRC-AMETALIN-MEMBRANES-AND-TAPE,"Avoid breathable as the stored class; record vapour permeance, air-barrier and water-control performance as separate properties."
TERM-109,"air barrier, vapour-control layer and water-control layer according to tested role","weather barrier, wrap or membrane",accepted_pending_review,"One physical membrane can perform several control functions, but those functions are not synonyms. A layer can resist bulk water yet remain vapour permeable, or control vapour without being the primary water barrier.",AU-TC-AIR-BARRIER-MEMBRANE|AU-TC-VAPOUR-CONTROL-MEMBRANE|AU-TC-WATER-CONTROL-MEMBRANE,SRC-SA-AS-4200-1-2017|SRC-SA-AS-4200-2-2017|SRC-ABCB-HP-CONDENSATION,"Allow one layer instance to carry multiple evidenced roles, while keeping each performance class and continuity network independently queryable."
TERM-110,primary insulation layer as an assembly role,"main insulation, primary insulation or insulation line",accepted_pending_review,"Primary insulation identifies the layer used as the reference for condensation and roof-space rules; it is not a product type. Different assemblies can assign the role to batts, boards, sprayed foam or another compliant layer.",AU-TC-CEILING-INSULATION-LAYER|AU-TC-WALL-CAVITY-INSULATION-LAYER|AU-TC-CONTINUOUS-INSULATION-LAYER|AU-TC-UNDERFLOOR-INSULATION-LAYER,SRC-ABCB-HP-CONDENSATION|SRC-ABCB-CONDENSATION-HANDBOOK,Assign primary-insulation as a role within a specific assembly and never infer it solely from product category or thickness.
TERM-111,continuous insulation layer or thermal-break product according to extent and purpose,thermal break or continuous insulation,accepted_pending_review,"Continuous insulation covers an area across repeating framing, while a thermal-break strip, pad or layer interrupts a specific conductive path. They can overlap in purpose but have different geometry and continuity requirements.",AU-TC-CONTINUOUS-INSULATION-LAYER|AU-TC-ROOF-THERMAL-BREAK-STRIP|AU-TC-WALL-THERMAL-BREAK-STRIP|AU-TC-FLOOR-THERMAL-BREAK-LAYER|AU-TC-THERMAL-ISOLATION-PAD,SRC-ABCB-HP-THERMAL-FABRIC|SRC-ABCB-THERMAL-BRIDGING-GUIDE,"Record covered area, interrupted member path, thickness, material, joints and fastener penetrations rather than using one generic thermal-break flag."
TERM-112,thermal bridge as an assembly condition through identified physical members,thermal bridge object or cold bridge,accepted_pending_review,"A thermal bridge is a heat-flow path caused by geometry or conductive materials, not an extra solid to draw. The framing, brackets, fasteners and gaps are objects; the bridge and its effect are analysis results.",AU-TC-THERMALLY-BROKEN-BRACKET|AU-TC-CONTINUOUS-INSULATION-FASTENER|AU-TC-THERMAL-SPACER-BATTEN|AU-TC-THERMAL-ENVELOPE-ASSEMBLY,SRC-ABCB-THERMAL-BRIDGING-GUIDE|SRC-ABCB-HP-THERMAL-FABRIC,"Identify the physical path and mitigation objects, then store bridge fraction, psi-value or adjusted assembly result as analysis metadata."
TERM-113,"reflective airspace, drained cavity or ventilated cavity according to function",air gap or cavity,accepted_pending_review,"A clear airspace supporting reflective performance, a cavity draining water and a cavity carrying ventilation air are different void roles. One void may have multiple evidenced roles, but required thickness, openings and continuity differ.",AU-TC-REFLECTIVE-AIRSPACE|AU-TC-ROOF-SPACE-VENTILATION-VOID|AU-TC-SUBFLOOR-SPACE,SRC-ABCB-HP-THERMAL-FABRIC|SRC-ABCB-HP-CONDENSATION|SRC-ABCB-CONDENSATION-HANDBOOK,"Classify each void by role and record clear dimensions, bounding layers, obstructions, drainage or ventilation connections and evidence."
TERM-114,"roof space, roof ventilation void or local ventilation gap according to bounded volume",roof cavity or attic,accepted_pending_review,A whole roof space above a ceiling is not the same geometry as a narrow path above cathedral-roof insulation. Vent locations and free-area rules must connect to the actual volume being ventilated.,AU-TC-ROOF-SPACE-VENTILATION-VOID|AU-TC-PITCHED-ROOF-HORIZONTAL-CEILING-INSULATION|AU-TC-CATHEDRAL-SKILLION-ROOF-INSULATION|AU-TC-ROOF-VENTILATION-BAFFLE,SRC-ABCB-HP-CONDENSATION|SRC-BRADFORD-ROOF-VENTILATION,"Model the exact bounded air volume and connect every inlet, outlet, baffle and obstruction to that volume."
TERM-115,"vent opening, grille, louvre or screened terminal according to physical component, with net free open area as an attribute",vent size or ventilation area,accepted_pending_review,"The gross face or hole size can be much larger than the net unobstructed airflow area after blades, mesh and framing are counted. Compliance calculations use free open area rather than a generic nominal size.",AU-TC-ROOF-VENTILATION-OPENING|AU-TC-VENT-MESH-SCREEN|AU-TC-SUBFLOOR-VENT-GRILLE|AU-TC-OUTDOOR-EXHAUST-TERMINAL,SRC-ABCB-HP-CONDENSATION|SRC-ABCB-HP-SUBFLOOR-VENTILATION|SRC-BRADFORD-ROOF-VENTILATION,"Draw actual openings and obstructions, store certified net free area separately, and aggregate only openings connected to the relevant ventilated volume."
TERM-116,rotary roof ventilator,"whirlybird, turbine vent or roof fan",accepted_pending_review,"Whirlybird is commonly used as a generic or brand-like term. A wind-driven rotary ventilator is not the same as a powered roof fan or static roof vent, and its capacity depends on operating conditions.",AU-TC-ROTARY-ROOF-VENT|AU-TC-POWERED-ROOF-VENT|AU-TC-STATIC-ROOF-VENT,SRC-BRADFORD-ROOF-VENTILATION|SRC-ABCB-HP-CONDENSATION,"Store drive type, tested free area or capacity, base flashing, weathering and connected roof volume."
TERM-117,subfloor space beneath a suspended floor,"underfloor, crawlspace or floor cavity",accepted_pending_review,Underfloor can also mean the face of a floor assembly or services zone. A subfloor space is a bounded volume needing external air paths and cross-flow; it may be accessible or too shallow to crawl.,AU-TC-SUBFLOOR-SPACE|AU-TC-SUSPENDED-FLOOR-INSULATION-ASSEMBLY|AU-TC-SUBFLOOR-VENTILATION-SYSTEM,SRC-ABCB-HP-SUBFLOOR-VENTILATION,Use subfloor space for the bounded air volume and underfloor only as a placement direction or surface role.
TERM-118,"subfloor brick vent, transfer opening or masonry weephole according to function","brick vent, air brick or weephole",accepted_pending_review,"A subfloor vent supplies ventilation, an internal opening transfers air between subfloor compartments and a weephole drains or ventilates a masonry cavity. Their sizes, levels, screens and connected spaces differ.",AU-TC-SUBFLOOR-BRICK-VENT|AU-TC-INTERNAL-SUBFLOOR-TRANSFER-OPENING|AU-TC-DOUBLE-LEAF-SUBFLOOR-VENT-PASSAGE,SRC-ABCB-HP-SUBFLOOR-VENTILATION,"Require every opening to name both connected spaces and its primary drainage, cavity or subfloor-ventilation function."
TERM-119,room exhaust fan or roof-space ventilator according to the air volume served,"exhaust fan, roof fan or ventilation fan",accepted_pending_review,A bathroom or kitchen exhaust system removes indoor air to outdoors; a roof ventilator moves air from the roof space. Discharging a room fan into the roof space does not satisfy the outdoor-discharge path.,AU-TC-CEILING-EXHAUST-FAN|AU-TC-WALL-EXHAUST-FAN|AU-TC-POWERED-ROOF-VENT|AU-TC-OUTDOOR-EXHAUST-TERMINAL,SRC-ABCB-HP-CONDENSATION|SRC-ABCB-HP-ROOM-VENTILATION|SRC-FANTECH-RESIDENTIAL-EXHAUST,"Connect the fan, duct and terminal to explicit source and destination volumes and reject room exhaust paths that terminate in a roof space."
TERM-120,ducted-to-outdoors rangehood or recirculating rangehood according to discharge path,rangehood,accepted_pending_review,"The visible appliance can look similar, but a recirculating unit filters and returns air indoors while a ducted unit carries it to an outdoor terminal. Their condensation-control effect and required components differ.",AU-TC-RANGEHOOD-EXHAUST-ASSEMBLY|AU-TC-DOMESTIC-EXHAUST-DUCT|AU-TC-OUTDOOR-EXHAUST-TERMINAL,SRC-ABCB-HP-CONDENSATION|SRC-ABCB-HP-ROOM-VENTILATION,Record discharge mode explicitly and require a connected duct and outdoor terminal before classifying a rangehood as outdoor exhaust.
TERM-121,"backdraft damper, fire damper, balancing damper or shut-off damper according to purpose",damper or flap,accepted_pending_review,"A backdraft damper stops reverse airflow, a fire damper protects a fire separation, a balancing damper regulates flow and a shut-off damper closes an unused appliance path. Similar moving blades do not make the functions interchangeable.",AU-TC-EXHAUST-FAN-BACKDRAFT-DAMPER|AU-TC-EVAPORATIVE-COOLER-DAMPER|AU-TC-CHIMNEY-FLUE-DAMPER,SRC-ABCB-HP-BUILDING-SEALING|SRC-ABCB-HP-CONDENSATION|SRC-SA-AS-1668-2-2012,"Store damper purpose, normal position, actuator, leakage or fire rating, served path and access needs; add fire and balancing dampers in their specialist systems."
TERM-122,designed make-up-air opening or transfer path,"make-up air, replacement air or natural leakage",accepted_pending_review,"Make-up air is the replacement airflow required by exhaust, not a solid object. A defined opening, undercut or grille can provide a known path; accidental envelope leakage is uncontrolled and should not be represented as the same component.",AU-TC-MAKEUP-AIR-OPENING|AU-TC-DOOR-UNDERCUT-MAKEUP-AIR|AU-TC-TRANSFER-AIR-GRILLE|AU-TC-ROOM-EXHAUST-MAKEUP-AIR-SYSTEM,SRC-ABCB-HP-CONDENSATION|SRC-SA-AS-1668-2-2012,"Draw the physical opening and connected-space path, then store required and available airflow as analysis attributes."
TERM-123,door undercut for transfer air or door-bottom seal for air sealing according to design intent,door gap or draught gap,accepted_pending_review,"An undercut can intentionally transfer make-up air, while a sweep, drop seal or threshold seal closes leakage. Applying both requirements to the same door edge without coordination creates a direct design conflict.",AU-TC-DOOR-UNDERCUT-MAKEUP-AIR|AU-TC-DOOR-BOTTOM-SWEEP|AU-TC-AUTOMATIC-DROP-DOOR-SEAL|AU-TC-DOOR-THRESHOLD-SEAL,SRC-ABCB-HP-CONDENSATION|SRC-ABCB-HP-BUILDING-SEALING|SRC-RAVEN-AU-WEATHER-SEALS,Assign a door-bottom intent per room and verify that the selected transfer-air route and envelope or acoustic sealing requirements can coexist.
TERM-124,"joint sealant, expanding-foam air seal, compressible strip or sprayed-foam insulation according to material and role","caulk, foam, spray foam or gap filler",accepted_pending_review,"A bead sealant joins surfaces, expanding foam fills irregular gaps, a strip is compressed between components and sprayed foam can form an insulation layer. Products may not be interchangeable for movement, fire, UV, moisture or substrate compatibility.",AU-TC-ENVELOPE-JOINT-SEALANT|AU-TC-EXPANDING-FOAM-AIR-SEAL|AU-TC-COMPRESSIBLE-AIR-SEAL-STRIP|AU-TC-SPRAYED-FOAM-INSULATION,SRC-ABCB-HP-BUILDING-SEALING|SRC-SA-AS-NZS-4859-1-2018|SRC-RAVEN-AU-WEATHER-SEALS,"Store product chemistry, joint or cavity geometry, movement, backing, exposure, fire and substrate constraints, and distinguish air-sealing use from insulation use."
TERM-125,"stairway assembly, stair flight or individual step according to scope","stairs, staircase, stair or steps",accepted_pending_review,"These everyday terms can mean the whole route between levels, one flight, or one step. A drawing tool must know whether landings, barriers, handrails and support structure are included.",AU-SA-STAIRWAY-ASSEMBLY|AU-SA-STAIR-FLIGHT-ASSEMBLY|AU-SA-STAIR-TREAD,SRC-ABCB-HP-STAIR-RAMP|SRC-WOODSOLUTIONS-STAIRS-BALUSTRADES,"Require the requested scope and level-to-level path, then generate flights, landings, steps and safety systems as related but separately editable objects."
TERM-126,"physical tread, whole step or going dimension according to meaning","step, tread or going",accepted_pending_review,"The tread is the physical foot-supporting element, a step may include both tread and riser, and going is a measured horizontal distance between nosings. Going must not become another board in the model.",AU-SA-STAIR-TREAD|AU-SA-STAIR-RISER|AU-SA-STAIR-NOSING,SRC-ABCB-HP-STAIR-RAMP|SRC-AUS-TRAINING-STAIR-MANUFACTURE,Draw tread and riser geometry; store going as a derived or specified dimension tied to successive nosing datums.
TERM-127,riser closure for the physical face and rise for the vertical dimension,riser or rise,accepted_pending_review,"A riser can be a board or closed face, while rise is the vertical measurement from one tread level to the next. An open-riser stair has a rise dimension but no solid riser closure.",AU-SA-STAIR-RISER|AU-SA-TIMBER-RISER-BOARD|AU-SA-OPEN-RISER-OPENING,SRC-ABCB-HP-STAIR-RAMP|SRC-WOODSOLUTIONS-STAIRS-BALUSTRADES,"Represent the closure and the clear opening as physical alternatives, and keep rise as flight geometry."
TERM-128,stair flight for one uninterrupted series of steps,"flight, run or stairs",accepted_pending_review,"Flight is a defined portion between landings. Run may mean the horizontal length, a ramp segment or an informal flight, so it is unsafe as the stored object name without context.",AU-SA-STAIR-FLIGHT-ASSEMBLY|AU-SA-RAMP-ASSEMBLY|AU-SA-LANDING-ASSEMBLY,SRC-ABCB-HP-STAIR-RAMP,"Segment level-to-level circulation at landings and give every stair flight its own step count, geometry, supports and adjacent barriers."
TERM-129,stair or ramp landing,"landing, platform, deck or floor",accepted_pending_review,"A landing is a level circulation area associated with a stair, ramp or doorway. It can be built like a small floor or deck, but its location and required clear geometry come from its circulation role.",AU-SA-LANDING-ASSEMBLY|AU-SA-LANDING-DECK-SUBSTRATE|AU-SA-LANDING-SUPPORT-FRAME,SRC-ABCB-HP-STAIR-RAMP|SRC-WOODSOLUTIONS-STAIRS-BALUSTRADES,"Store both the physical deck/frame construction and the landing role, including connected flights, doors, barriers and clear circulation zone."
TERM-130,"stair stringer, string or carriage according to supported system","stringer, string, carriage, cheek or stair beam",accepted_pending_review,"Australian trade usage overlaps, while the physical geometry can be a cut timber string, housed string, steel plate, steel section or central spine. A skirt board may look similar but is lining, not the flight support.",AU-SA-STAIR-STRINGER-SYSTEM|AU-SA-CUT-TIMBER-STRINGER|AU-SA-HOUSED-TIMBER-STRINGER|AU-SA-STAIR-SKIRT-BOARD,SRC-WOODSOLUTIONS-STAIRS-BALUSTRADES|SRC-AUS-TRAINING-STAIR-MANUFACTURE,Select the actual section and tread-support method; never infer structural support from a visible sloping trim board.
TERM-131,cut or open stringer for support geometry; open-riser stair for the step opening,open stair or open string,accepted_pending_review,"Open can describe a sawtooth stringer, the absence of riser closures, open sides without barriers, or a visually lightweight stair. These are independent conditions.",AU-SA-CUT-TIMBER-STRINGER|AU-SA-OPEN-RISER-STAIR-ASSEMBLY|AU-SA-OPEN-RISER-OPENING|AU-SA-STAIR-BARRIER-ASSEMBLY,SRC-ABCB-HP-STAIR-RAMP|SRC-WOODSOLUTIONS-STAIRS-BALUSTRADES,"Ask separately for stringer form, riser closure and edge-barrier condition."
TERM-132,winder tread for a tapered tread changing stair direction,"winder, kite step, tapered step or spiral step",accepted_pending_review,"A winder is defined by plan taper and its role in changing direction. A spiral tread also tapers but belongs to a stair turning around a central axis, so the two need different generation rules.",AU-SA-WINDER-TREAD|AU-SA-WINDER-STAIR-ASSEMBLY|AU-SA-SPIRAL-STAIR-TREAD,SRC-ABCB-HP-STAIR-RAMP,"Store walk-line geometry, narrow and wide ends, adjacent boundaries, centre or turning geometry and individual tread dimensions."
TERM-133,"spiral stair, curved stair or geometric stair according to plan and support geometry","spiral, helical, circular or curved stair",accepted_pending_review,A spiral stair commonly winds around a centre post or small core; a helical or curved stair may have an open centre and different strings. The terms are often mixed in product descriptions.,AU-SA-SPIRAL-STAIR-ASSEMBLY|AU-SA-CURVED-GEOMETRIC-STAIR-ASSEMBLY|AU-SA-SPIRAL-STAIR-TREAD,SRC-ABCB-HP-STAIR-RAMP|SRC-WOODSOLUTIONS-STAIRS-BALUSTRADES,"Base the subtype on centreline, inner and outer support paths and tread geometry rather than the marketing name."
TERM-134,named support system with floating appearance as a visual attribute,floating stair,accepted_pending_review,"Floating describes appearance, not how loads are carried. The stair may use a central spine, hidden twin strings, wall-cantilevered treads or suspended connections, all requiring different physical objects.",AU-SA-MONO-STRINGER-ASSEMBLY|AU-SA-STAIR-STRINGER-SYSTEM|AU-SA-STAIR-TREAD-BRACKET,SRC-WOODSOLUTIONS-STAIRS-BALUSTRADES|SRC-PALMER-STEEL-STRINGERS,Require the actual support and restraint scheme before generating a stair; keep floating only as a style or visibility tag.
TERM-135,building-serving pedestrian ramp,"ramp, driveway, sloping path or threshold wedge",accepted_pending_review,"These sloping surfaces serve different users, loads and code paths. A residential pedestrian ramp is not automatically a vehicle driveway or an accessible ramp complying with a separate accessibility standard.",AU-SA-RAMP-ASSEMBLY|AU-SA-RAMP-DECK-SURFACE|AU-SA-THRESHOLD-STEP-ASSEMBLY,SRC-ABCB-HP-STAIR-RAMP|SRC-SA-AS-1428-1-2021,"Record route purpose, users, slope, crossfall, landings, edge treatment, surface, supporting construction and governing compliance path."
TERM-136,"door threshold, threshold step or landing according to physical form","sill, threshold, step or doorstep",accepted_pending_review,"A sill is usually part of a frame or weathering system, while a threshold may be a raised transition, a separate step assembly or a level landing at a door. Their clearances and weatherproofing interfaces differ.",AU-SA-THRESHOLD-STEP-ASSEMBLY|AU-SA-LANDING-ASSEMBLY|AU-SA-PEDESTRIAN-CIRCULATION-SURFACE-ASSEMBLY,SRC-ABCB-HP-STAIR-RAMP,"Model each solid profile and level change, connect it to the doorway and landing, and keep door-frame weathering parts in the opening system."
TERM-137,slip-resistant surface with stated test classification and conditions,"non-slip, anti-slip, safe grip or textured",accepted_pending_review,"These informal descriptions do not prove performance. Surface material, finish, contamination, wear and whether it was tested wet or dry all affect the usable evidence.",AU-SA-STAIR-TREAD-FINISH|AU-SA-SLIP-RESISTANT-NOSING-STRIP|AU-SA-RAMP-SLIP-RESISTANT-FINISH,SRC-ABCB-HP-STAIR-RAMP|SRC-SA-AS-4586-2013|SRC-LATHAM-STAIR-NOSINGS,"Draw the actual finish or insert and attach test method, classification, test condition, substrate, direction, maintenance and evidence date as attributes."
TERM-138,pendulum classification or ramp-test classification as evidence metadata,"P rating, R rating or slip rating",accepted_pending_review,P and R classifications arise from different test methods and are not physical layers or automatically interchangeable. A rating belongs to a tested product or surface configuration under stated conditions.,AU-SA-STAIR-TREAD-FINISH|AU-SA-RAMP-SLIP-RESISTANT-FINISH|AU-SA-FULL-TREAD-SAFETY-PLATE,SRC-SA-AS-4586-2013|SRC-ABCB-HP-STAIR-RAMP,"Store method, class, report, specimen construction and condition on the surface object; do not create rating geometry."
